way_id,coordinates
79,"105.8407898,21.0511113;105.8406995,21.0510923;105.8405181,21.0509952;105.8402372,21.0508315;105.8401932,21.0508079;105.8401603,21.050789"
80,"105.8504709,21.0321878;105.8496877,21.031667;105.8492253,21.0313684;105.8491377,21.0313156"
81,"105.8543515,21.0348427;105.8543587,21.0347343;105.8543704,21.0343712;105.8544057,21.0339094;105.8544138,21.0338031"
82,"105.8619621,21.0190962;105.8619379,21.019295;105.86192,21.0198171"
83,"105.8251515,21.010617;105.8252306,21.0107648;105.8252977,21.0108828;105.8253888,21.0110281;105.825529,21.0112402"
84,"105.8516366,21.0117589;105.8516414,21.0118255;105.8517327,21.0130969;105.8517315,21.0134462;105.851722,21.0136037"
85,"105.8514047,21.0168343;105.8513198,21.0168416;105.8509488,21.0168489;105.8508468,21.0168556;105.8507677,21.0168603;105.8504493,21.0168994;105.8503544,21.0169123"
86,"105.8136905,21.0148285;105.8134143,21.0144094;105.8133869,21.0143682;105.8130615,21.0138575"
87,"105.8362864,21.0439963;105.8363214,21.0441165;105.8363415,21.0441941;105.836363,21.0443026;105.8364082,21.0446518;105.8365255,21.0456116;105.8365615,21.045891;105.8366065,21.0461704;105.8367095,21.0467446;105.8367223,21.0467949;105.8367383,21.0468369;105.8367618,21.0468794;105.8367882,21.0469203;105.8368383,21.0469782;105.8370797,21.0472139;105.837565,21.0476588;105.8379102,21.0479784;105.8380028,21.0480824;105.838014,21.0480956;105.8380516,21.0481387;105.838449,21.0485945;105.8385221,21.0486864;105.8385338,21.0487012;105.8385505,21.0487231;105.8385877,21.0487713;105.8386122,21.048812;105.8386325,21.0488507;105.8388296,21.049239;105.8389686,21.0494783;105.839228,21.0499048"
88,"105.8530287,21.0317165;105.8529917,21.0317447;105.8529305,21.0317834;105.8528508,21.0318048;105.8524933,21.0318501;105.8519608,21.0319135;105.8517163,21.0319146"
89,"105.8248143,21.0276475;105.8248723,21.0275897;105.8250963,21.0273413;105.8252866,21.027163;105.8254285,21.0270481;105.8255585,21.0269721;105.8257884,21.026827;105.8261857,21.0266551;105.8264967,21.0265512;105.826563,21.0265292;105.8268774,21.0264261;105.8271242,21.0263461;105.8273425,21.0262792;105.827496,21.0262322"
90,"105.8454237,20.9739607;105.845488,20.9741996;105.8455058,20.974416;105.845479,20.9745774;105.8454813,20.9748053;105.8455367,20.9749868;105.8456435,20.9751512"
91,"105.7811016,21.0460456;105.7814371,21.0460459"
92,"105.8357174,21.0553529;105.8358079,21.0551442;105.8358753,21.0549949;105.8359608,21.0548388;105.8359872,21.0547936;105.8360407,21.0546792;105.8360552,21.05465;105.8361991,21.0543625;105.8362574,21.054246;105.836326,21.0541361;105.8364099,21.0539968;105.836479,21.0538837;105.8365661,21.0537424;105.836628,21.0536418;105.8367107,21.0535076;105.8367918,21.0534084;105.8368686,21.0533144;105.8369278,21.053242;105.8370302,21.0531167;105.8370728,21.0530646;105.837187,21.0529543;105.837281,21.05286;105.837592,21.0525554"
93,"105.7624658,21.0165859;105.762362,21.0171896;105.76232,21.0175158;105.7622741,21.0181364;105.7622607,21.0192744;105.7622589,21.0194297;105.7622641,21.0196614;105.7622626,21.0197551;105.7622508,21.0204972;105.7622415,21.0210753;105.7622352,21.021467"
94,"105.8617157,21.0030001;105.8616032,21.0030065"
95,"105.8243597,20.9705328;105.8245054,20.9704923;105.8246317,20.9704572"
96,"105.9076578,21.0766574;105.9092702,21.0782869;105.9092765,21.0782933"
97,"105.9092765,21.0782933;105.9093183,21.0783153;105.9095008,21.0784782;105.9111098,21.0792565;105.9112868,21.0793866;105.9115235,21.0796125;105.9118492,21.0799235"
98,"105.8260746,21.0681488;105.8260587,21.0679917;105.8260559,21.0679302"
99,"105.8293449,21.0627201;105.8291779,21.0625698;105.8289853,21.0624189;105.8287396,21.0622105;105.8284153,21.0615752;105.8282649,21.0613574;105.8280622,21.0612045;105.8278514,21.0610692;105.8277671,21.0609914;105.8275316,21.0607687;105.8272557,21.0604955;105.8269629,21.060091;105.826859,21.0599392;105.8257488,21.0588789;105.8257031,21.0588372;105.8254279,21.0585562;105.8253929,21.0584303;105.82536,21.0583261;105.8252195,21.0581989;105.824711,21.0578284;105.8236547,21.0572862;105.8230532,21.0569821"
100,"105.9300833,21.0272479;105.9293238,21.0255689;105.9288699,21.0245656;105.9284767,21.0237788;105.9281494,21.0230911;105.9278086,21.0225763;105.9275144,21.0221831;105.9271237,21.0217028"
101,"105.9582523,21.0874599;105.9577813,21.0866097;105.9574398,21.085944;105.9571008,21.0851984;105.9568022,21.0844453;105.9565437,21.083738;105.9563707,21.0831461;105.956196,21.082487;105.9560669,21.0818654;105.9559523,21.0812001;105.9558213,21.0802017"
